LCNS_NO,BSSH_NM,CHNG_DT,CHNG_PRVNS,INDUTY_CD_NM,SITE_ADDR,CHNG_BF_CN,CHNG_AF_CN,TELNO,DB_EXISTS,DB_LAST_EVENT_DATE,IS_MISSED,MISSED_REASON
20230406011,(유)아웃백스테이크하우스코리아 중동롯데점,20240117,변경민원,일반음식점,경기도 부천시 원미구 길주로 300(LOTTE백화점 8층 일부호 중동),박**,S********************,0323207775,Y,20260406,N,NONE
20130614649,(유)아웃백스테이크하우스코리아 양산점,20240117,변경민원,일반음식점,"경상남도 양산시 중부로 2(6층 중부동, 다몬프리미엄아울렛)",박**,송**,0553660281,Y,20260401,N,NONE
20130614649,(유)아웃백스테이크하우스코리아 양산점,20211209,변경민원,일반음식점,"경상남도 양산시 중부로 2(6층 중부동, 다몬프리미엄아울렛)",이**,박**,0553660281,Y,20260401,N,NONE
20210244126,(유)아웃백스테이크하우스코리아대전신세계점,20240117,변경민원,일반음식점,대전광역시 유성구 엑스포로 1(신세계엑스포점 지상9층 H9호 도룡동),박**,송********************,0426078702,Y,20260402,N,NONE
20210244126,(유)아웃백스테이크하우스코리아대전신세계점,20211208,변경민원,일반음식점,대전광역시 유성구 엑스포로 1(신세계엑스포점 지상9층 H9호 도룡동),이**,박**,0426078702,Y,20260402,N,NONE
20060548189,(유)아웃백스테이크하우스코리아인동점,20240117,변경민원,일반음식점,경상북도 구미시 인동가산로 14(진평동),박**,송**,0544769791,Y,20260401,N,NONE
20060548189,(유)아웃백스테이크하우스코리아인동점,20211209,변경민원,일반음식점,경상북도 구미시 인동가산로 14(진평동),이**,박**,0544769791,Y,20260401,N,NONE
20020066637,(유)아웃백 스테이크하우스코리아 신촌점,20240117,변경민원,일반음식점,서울특별시 서대문구 연세로12길 33(창천동),박**,송**,31471871,Y,20260331,N,NONE
20020066637,(유)아웃백 스테이크하우스코리아 신촌점,20211213,변경민원,일반음식점,서울특별시 서대문구 연세로12길 33(창천동),이**,박**,31471871,Y,20260331,N,NONE
20220027777,(유)아웃백스테이크하우스코리아 광화문D타워점,20240117,변경민원,일반음식점,서울특별시 종로구 종로3길 17(D타워 3층 301~303호 청진동),박**,송********************,0269882265,Y,20260331,N,NONE
20190036777,(주)돈골약방,20240117,변경민원,일반음식점,서울특별시 성동구 성수일로8길 28(1층 성수동2가),(주) 잇 샐러드,(주)돈골약방,0262338228,Y,20240117,N,NONE
20090627112,(유)아웃백스테이크하우스코리아제주아일랜드점,20240117,변경민원,일반음식점,제주특별자치도 제주시 연북로 202(1층 오라이동),박**,송**,0220548365,Y,20260331,N,NONE
20090627112,(유)아웃백스테이크하우스코리아제주아일랜드점,20211209,변경민원,일반음식점,제주특별자치도 제주시 연북로 202(1층 오라이동),이**,박**,0220548365,Y,20260331,N,NONE
20030317254,(유)아웃백스테이크하우스코리아 고잔점,20240117,변경민원,일반음식점,"경기도 안산시 단원구 당곡로 11(고잔동, 530-2  스카이팰리스 203호)",박**,S********************,0314054691,Y,20260402,N,NONE
